date,gameId,pick,avgEdge,modelCount,totalModels,price,result,homeTeam,awayTeam
2026-01-20,4ed4cf071cfe7da2c15ecc7e1d617c9a,Under 142.5,5.788800090764788,19,19,-110,w,Central Michigan Chippewas,Ball State Cardinals
2026-01-20,372ed690d06f7af3c39d42964167147a,Over 164.5,4.005211224891214,16,19,-115,l,Missouri Tigers,Georgia Bulldogs
2026-01-21,af0fda14f36b757949e894731c7e7b12,Under 131.5,9.405635856077511,19,19,-110,w,Illinois St Redbirds,Northern Iowa Panthers
2026-01-21,515090724e6b67ea6bba1d4a94c18b2a,Over 177.5,8.115608223002283,19,19,-112,w,Oakland Golden Grizzlies,IUPUI Jaguars
2026-01-21,3ba57e53fb5c03e47c3d24a249d58d90,Under 142.5,7.162319732347013,19,19,-110,w,Cal Baptist Lancers,Utah Tech Trailblazers
2026-01-21,424e5ce54851abb80aadb122eebf11ae,Under 136.5,4.891011723191437,16,19,-110,w,Boston College Eagles,Pittsburgh Panthers
2026-01-21,140b50a5f41d3418bc2d3520915119eb,Under 148.5,3.8739248146971894,13,19,-108,l,Presbyterian Blue Hose,Charleston Southern Buccaneers
2026-01-22,e1ca05e55815bb75c8e478ec6f381b29,Under 125.5,7.356959410292188,19,19,-110,l,Appalachian St Mountaineers,Louisiana Ragin' Cajuns
2026-01-22,3c4b64b2faacaa6557a37ee2028d1c1b,Over 144.5,6.321865334039082,19,19,-115,w,UMass Lowell River Hawks,Vermont Catamounts
2026-01-23,ff06d8533637235b86456bfbf56500ac,Under 122.5,6.911449892963919,19,19,-110,w,New Haven Chargers,Mercyhurst Lakers
2026-01-23,e211314a2a4ec342ae8d16b529483986,Under 136.5,6.487634319689522,19,19,-115,w,North Texas Mean Green,East Carolina Pirates
2026-01-23,57a5128dccb3d1d41bb7c7dccd1fa19c,Buffalo Bulls +2.5,4.751908825760965,17,19,-120,w,Buffalo Bulls,Massachusetts Minutemen
2026-01-24,8d6977732a34a2ddd0564e91e195b7e1,Under 134.5,7.020904614750063,19,19,-112,w,Princeton Tigers,Brown Bears
2026-01-24,13290b12ddf9d43cd49426a751105517,Under 135.5,6.891588678327145,19,19,-110,w,Notre Dame Fighting Irish,Boston College Eagles
